symbol,company,weight_pct
INFY.NS,Infosys Ltd,27.68
TCS.NS,Tata Consultancy Services Ltd,23.39
HCLTECH.NS,HCL Technologies Ltd,10.73
TECHM.NS,Tech Mahindra Ltd,9.40
WIPRO.NS,Wipro Ltd,7.78
PERSISTENT.NS,Persistent Systems Ltd,6.13
COFORGE.NS,Coforge Ltd,5.64
LTIM.NS,LTIMindtree Ltd,4.33
MPHASIS.NS,Mphasis Ltd,2.97
OFSS.NS,Oracle Financial Services Software Ltd,1.94
