symbol,company,weight_pct
HDFCBANK.NS,HDFC Bank Ltd,28.27
ICICIBANK.NS,ICICI Bank Ltd,25.38
KOTAKBANK.NS,Kotak Mahindra Bank Ltd,8.53
SBIN.NS,State Bank of India,8.51
AXISBANK.NS,Axis Bank Ltd,8.40
FEDERALBNK.NS,Federal Bank Ltd,3.81
INDUSINDBK.NS,IndusInd Bank Ltd,3.45
BANKBARODA.NS,Bank of Baroda,3.41
IDFCFIRSTB.NS,IDFC First Bank Ltd,2.74
PNB.NS,Punjab National Bank,2.67
