symbol,mom3,mom6,atr_pct,vol30,rsi14,breakout,pe
AXISBANK.NS,0.13231590470564702,0.0227166005039654,0.02269308678046197,0.0182064880828178,73.23674639141045,0,13.158011
BANKBARODA.NS,0.08532985979674668,-0.007115131758128945,0.026608247591012664,0.01860553466401698,68.26093651921082,0,6.145533
BRITANNIA.NS,0.12179175041259982,-0.08756195149475055,0.023883023441950816,0.012333655030033697,79.85578967415418,0,60.972504
COFORGE.NS,-0.2302071699942081,-0.1100270301109233,0.048510252536314746,0.032047886936039584,36.756125861600964,0,55.24862
COLPAL.NS,-0.05262965623348603,-0.26449484932465317,0.0248180697499022,0.012781554501201714,64.65683374449492,0,47.84996
FEDERALBNK.NS,0.011892441701060186,-0.009606584003649221,0.02434490919612331,0.01655487351113728,60.69755309834473,0,11.932028
GODREJCP.NS,0.09125502627167137,-0.04820465377561678,0.030317021141750267,0.015449896681789596,71.3530026504218,0,
HCLTECH.NS,-0.20173524267491327,-0.2148403299509979,0.0320516112308307,0.018591061081949124,37.74813082692364,0,22.883514
HDFCBANK.NS,0.15796184831922022,0.12949468559174737,0.018692526877351158,0.01454203853864204,70.18867756919396,1,21.32297
HINDUNILVR.NS,0.002977279492176743,-0.14508011534387855,0.020688533726228742,0.010501306938503924,70.39944091332954,0,51.810646
ICICIBANK.NS,0.1341610060412155,0.14203365226050324,0.01869282434676084,0.014638171989234535,72.06201201089476,1,20.490894
IDFCFIRSTB.NS,0.017113358036691118,-0.1362764204647675,0.03327707448254655,0.02361984230787119,63.95865694076478,0,23.68421
INDUSINDBK.NS,-0.17399435362936844,-0.4201174500918612,0.04548232249311417,0.06569372053958876,57.70443641898933,0,8.539652
INFY.NS,-0.268317845275466,-0.26710775539308895,0.033257882263467646,0.018570025600785973,30.4840309406573,0,21.835102
ITC.NS,-0.005969171551751029,-0.12668503023326416,0.01843516128126822,0.008532030856334905,67.94456302197197,0,26.520794
KOTAKBANK.NS,0.24991438830785895,0.1451224836414413,0.02161221258115608,0.016413435145160245,66.31153693052835,1,19.569807
LTIM.NS,-0.2712147336507613,-0.3477619450390047,0.038591480708448464,0.022576294165375016,37.47742271018206,0,27.24844
MARICO.NS,0.08697905553074836,0.042433986710289195,0.023989373957071406,0.013524228046022073,73.7292639628114,0,57.78496
MPHASIS.NS,-0.18219586325982373,-0.23253227697837875,0.042919446594453736,0.027419297429580273,45.554848332251936,0,26.246105
NESTLEIND.NS,0.09599859069359518,-0.02796679035095606,0.022461665050782533,0.012031674764739493,74.47788444818002,0,78.13126
OFSS.NS,-0.2602655331243986,-0.32233442007224666,0.03615933595011414,0.022613833690706277,53.356893116497346,0,30.210907
PERSISTENT.NS,-0.17484021692157226,-0.13614362717473516,0.05093703705995415,0.03111631092952252,43.47106265137971,0,56.820583
PNB.NS,0.011076072526459146,-0.052471212495380226,0.027933745789238525,0.017617571435304458,62.3429719924695,0,6.5894036
SBIN.NS,0.065895858028715,-0.00956345025591332,0.022553168174624855,0.016703942393241494,63.51676757349435,0,8.968174
TATACONSUM.NS,0.16305863341835547,0.0059718037377378685,0.02521277975504078,0.017527660208806882,73.308507805993,0,95.2551
TCS.NS,-0.20825703383162675,-0.18782980548069517,0.0252862528251454,0.012977674779220223,32.23436171899859,0,24.56915
TECHM.NS,-0.2067981494214719,-0.22095239758600393,0.03300002159947126,0.019328667079684288,34.22640646236757,0,30.95949
VBL.NS,-0.01596021204049003,-0.05812275102576814,0.03521934316950341,0.022790339392956303,61.48641573780657,0,69.94347
WIPRO.NS,-0.17497899117464588,-0.12070818276337525,0.036368757573575286,0.020877411244867427,32.59993213841645,0,20.042301
