date,Rolling30dReturn
2010-02-17,0.26287743397435115
2010-02-18,1.547449604657869
2010-02-19,1.4538588710098166
2010-02-22,2.4755916291336666
2010-02-23,1.9703013842585326
2010-02-24,1.9703013842585326
2010-02-25,1.9703013842585326
2010-02-26,4.318577475231655
2010-03-02,6.348130934259788
2010-03-03,8.099075117639432
2010-03-04,7.45391881857671
2010-03-05,8.22006853842634
2010-03-08,8.22006853842634
2010-03-09,8.22006853842634
2010-03-10,8.22006853842634
2010-03-11,8.22006853842634
2010-03-12,8.22006853842634
2010-03-15,8.22006853842634
2010-03-16,8.22006853842634
2010-03-17,8.22006853842634
2010-03-18,8.22006853842634
2010-03-19,8.22006853842634
2010-03-22,8.22006853842634
2010-03-23,8.22006853842634
2010-03-25,8.22006853842634
2010-03-26,8.22006853842634
2010-03-29,8.22006853842634
2010-03-30,8.22006853842634
2010-03-31,8.22006853842634
2010-04-01,8.22006853842634
2010-04-05,7.936328288295913
2010-04-06,6.570936995213694
2010-04-07,6.669248210675938
2010-04-08,5.6057026048528025
2010-04-09,6.129007239683015
2010-04-12,6.129007239683015
2010-04-13,6.129007239683015
2010-04-15,3.7399772481761406
2010-04-16,1.7601979345774232
2010-04-19,0.1119282664122867
2010-04-20,0.7130030512364716
2010-04-21,0.0
2010-04-22,0.0
2010-04-23,0.0
2010-04-26,0.0
2010-04-27,0.0
2010-04-28,0.0
2010-04-29,0.0
2010-04-30,0.0
2010-05-03,0.0
2010-05-04,0.0
2010-05-05,0.0
2010-05-06,0.0
2010-05-07,0.0
2010-05-10,0.0
2010-05-11,0.0
2010-05-12,0.0
2010-05-13,1.0745998625076636
2010-05-14,-0.7674149598601798
2010-05-17,0.7671503000456159
2010-05-18,0.013518248221933149
2010-05-19,0.013518248221933149
2010-05-20,0.013518248221933149
2010-05-21,0.013518248221933149
2010-05-24,0.013518248221933149
2010-05-25,0.013518248221933149
2010-05-26,0.013518248221933149
2010-05-27,0.013518248221933149
2010-05-28,0.013518248221933149
2010-05-31,0.013518248221933149
2010-06-01,0.013518248221933149
2010-06-02,0.013518248221933149
2010-06-03,0.013518248221933149
2010-06-04,0.013518248221933149
2010-06-07,0.013518248221933149
2010-06-08,0.013518248221933149
2010-06-09,0.013518248221933149
2010-06-10,0.013518248221933149
2010-06-11,0.013518248221933149
2010-06-14,0.013518248221933149
2010-06-15,0.013518248221933149
2010-06-16,0.013518248221933149
2010-06-17,0.013518248221933149
2010-06-18,0.013518248221933149
2010-06-21,0.013518248221933149
2010-06-22,0.013518248221933149
2010-06-23,0.013518248221933149
2010-06-24,-1.0498004599861166
2010-06-25,0.7869725531852279
2010-06-28,-0.7478945763372935
2010-06-29,0.0
2010-06-30,0.0
2010-07-01,0.0
2010-07-02,0.0
2010-07-05,0.0
2010-07-06,0.0
2010-07-07,0.0
2010-07-08,0.0
2010-07-09,0.0
2010-07-12,0.0
2010-07-13,0.0
2010-07-14,0.0
2010-07-15,0.0
2010-07-16,3.4605581007525643
2010-07-19,3.241368787469878
2010-07-20,3.4103020187574717
2010-07-21,6.838661677316327
2010-07-22,4.946599069070334
2010-07-23,4.946599069070334
2010-07-26,4.946599069070334
2010-07-27,4.946599069070334
2010-07-28,4.946599069070334
2010-07-29,4.946599069070334
2010-07-30,4.946599069070334
2010-08-02,4.946599069070334
2010-08-03,5.804682226610702
2010-08-04,8.620513092100456
2010-08-05,8.075121459999647
2010-08-06,6.871625524157654
2010-08-09,6.871625524157654
2010-08-10,6.871625524157654
2010-08-11,6.871625524157654
2010-08-12,6.871625524157654
2010-08-13,6.871625524157654
2010-08-16,6.871625524157654
2010-08-17,6.871625524157654
2010-08-18,6.871625524157654
2010-08-19,6.871625524157654
2010-08-20,8.157121277245437
2010-08-23,8.176643246765236
2010-08-24,6.846897304281985
2010-08-25,5.241336660684182
2010-08-26,5.307204401762666
2010-08-27,1.7848795085870117
2010-08-30,2.0009765838590043
2010-08-31,1.834345656065417
2010-09-01,-1.4334298572356574
2010-09-02,0.34360840264582304
2010-09-03,0.34360840264582304
2010-09-06,0.34360840264582304
2010-09-07,0.34360840264582304
2010-09-08,0.34360840264582304
2010-09-09,0.34360840264582304
2010-09-13,1.867289444412168
2010-09-14,2.911911572869519
2010-09-15,1.622161518352927
2010-09-16,-1.2997084711984574
2010-09-17,-0.4428901740160862
2010-09-20,0.3291997372757427
2010-09-21,1.4621472389519496
2010-09-22,1.8736150002774732
2010-09-23,3.1737687640029044
2010-09-24,3.011323069734906
2010-09-27,3.848066995392929
2010-09-28,4.205822670929349
2010-09-29,3.637122353298916
2010-09-30,4.999594330395585
2010-10-01,7.982379872859657
2010-10-04,7.710555835223376
2010-10-05,9.906544485350288
2010-10-06,12.425329110360028
2010-10-07,14.140488661640793
2010-10-08,14.069095861913095
2010-10-11,14.069095861913095
2010-10-12,14.069095861913095
2010-10-13,18.924674276455235
2010-10-14,18.20276947283903
2010-10-15,17.604349902896455
2010-10-18,18.942533650416472
2010-10-19,18.496778337564535
2010-10-20,17.80587023518576
2010-10-21,16.740944889322982
2010-10-22,18.13230269425827
2010-10-25,15.428501279396034
2010-10-26,14.256827710727116
2010-10-27,14.768541094860389
2010-10-28,15.102800683154793
2010-10-29,14.688048692901878
2010-11-01,15.087038104317308
2010-11-02,13.801952229005332
2010-11-03,13.342305886642624
2010-11-04,11.914012364430526
2010-11-08,12.090497326423954
2010-11-09,11.187340960826585
2010-11-10,10.805616588262957
2010-11-11,11.413653437589598
2010-11-12,9.967952798051694
2010-11-15,6.930319990489875
2010-11-16,5.926052965357065
