date,close,high,low,open,volume
,sbin.ns,sbin.ns,sbin.ns,sbin.ns,sbin.ns
2010-01-04,192.4888153076172,193.22812702622497,191.12782129767905,191.12782129767905,11031470
2010-01-05,192.56024169921875,194.06825975510978,191.55628935373934,193.90023785163925,11613740
2010-01-06,193.7153778076172,194.48828869088683,191.96792209878032,192.97606617177345,14527930
2010-01-07,192.63162231445312,194.06823698193134,191.64028422683208,193.73219321442375,8576510
2010-01-08,192.05616760253906,193.55578908460768,191.55629377518284,192.72406333724402,10453820
2010-01-11,190.4725341796875,194.29509331486486,190.14068227256706,192.97609511393637,14145340
2010-01-12,185.09573364257812,190.70774391830065,184.50763783324683,190.45570468847978,22917720
2010-01-13,182.8021697998047,184.40680613252,181.30675344531758,184.40680613252,21719690
2010-01-14,181.24375915527344,184.7428623972115,180.25240831609807,183.8187356900449,20723990
2010-01-15,180.06759643554688,183.0122160140555,179.51730460371778,182.13849457109475,20611920
2010-01-18,181.1639404296875,183.4028603253516,180.02137378966043,182.72656814591207,19222170
2010-01-19,182.56695556640625,183.73472492657504,181.21435829433327,182.28971369854995,12277070
2010-01-20,181.45379638671875,183.70112586661713,180.84051076163493,183.48268588728084,16830720
2010-01-21,178.4503936767578,181.5756498834687,177.4590426253227,181.38241251068695,19265470
2010-01-22,175.3629150390625,176.97174347681624,172.4812891102314,176.43827047311808,27193180
2010-01-25,175.719970703125,179.5341200302612,172.69132079965027,172.69132079965027,15378040
2010-01-27,166.98692321777344,173.77090882650984,165.59652171382362,173.065209108706,38068910
2010-01-28,168.29750061035156,176.42568659219916,167.26835846344662,176.42568659219916,27952460
2010-01-29,172.77952575683594,173.68685922403125,164.24808628438092,167.18430911875487,46487190
2010-02-01,169.80970764160156,180.45825959002656,169.326639917788,180.45825959002656,22047160
2010-02-02,166.20559692382812,171.82181231520926,165.85273428524778,170.56162889506095,24086260
2010-02-03,167.92364501953125,169.36024693605273,166.63825895980207,166.87349217208921,30450710
2010-02-04,163.6473846435547,167.74718475467722,162.98369379896548,167.68838287137643,35357120
2010-02-05,160.26113891601562,162.98029302213916,157.33087044069242,162.98029302213916,26878830
2010-02-08,163.53338623046875,164.48340074426372,159.0662125418429,160.44689566314884,18885130
2010-02-09,164.6945343017578,165.3447701416648,162.55805799888995,163.06473761953922,13836980
2010-02-10,161.44760131835938,166.35812362823737,160.0246925256395,166.35812362823737,19731930
2010-02-11,161.93739318847656,163.82475623056945,161.37583461633392,162.46517912994102,12427940
2010-02-15,160.0247039794922,162.55807660185883,159.2900300423337,162.55807660185883,13325010
2010-02-16,162.18649291992188,162.55805625302102,160.02468394777912,161.62914792027317,8070150
2010-02-17,165.24765014648438,165.72477065615172,162.7480633692258,163.40251272339034,13468360
2010-02-18,164.0274200439453,165.51366052007614,162.75228104532462,165.33631878565802,13103230
2010-02-19,160.8944549560547,163.3180433834147,159.60666267474375,162.55803693631256,15863020
2010-02-22,161.8275909423828,163.40250864898303,161.30403147210603,162.135822535425,11528650
2010-02-23,161.4518585205078,163.36032815132245,161.00429700139907,161.70519839000735,10625770
2010-02-24,162.2413787841797,162.98027901286497,160.44690680022975,160.95358639691577,8173590
2010-02-25,161.59962463378906,162.9803080973204,160.73404790876813,162.55807931986618,21615960
2010-02-26,166.72122192382812,171.59374483573524,161.71359561788398,162.55805303625414,43215190
2010-03-02,167.7641143798828,169.82037885836357,166.71276909862627,168.09345223216778,19347350
2010-03-03,170.78311157226562,171.07866400432994,167.97106618657617,167.97106618657617,15843680
2010-03-04,171.65289306640625,172.6662395686306,169.9048597196143,170.83376819646992,14301070
2010-03-05,172.8773193359375,173.87377287935647,170.67328501446295,172.6915376777751,12685070
2010-03-08,174.460693359375,178.39164188099778,171.68664745703757,173.95824013010906,38664790
2010-03-09,172.6577911376953,175.47827617717405,171.64021827437276,171.64021827437276,14305280
2010-03-10,172.037109375,173.13068029146407,171.12086731774693,173.13068029146407,12767630
